,Current (A),Voltage (V)
0,0.0,1.838762546e-05
1,0.0001,0.013903415762
2,0.0002,0.027845539153
3,0.00030000000000000003,0.041764825583
4,0.0004,0.055661275983
5,0.0005,0.069626234472
6,0.0006000000000000001,0.083681181073
7,0.0007,0.097750268877
8,0.0008,0.11162388325
9,0.0009000000000000001,0.12554317713
10,0.001,0.13967941701
11,0.0009,0.1255774349
12,0.0007999999999999999,0.11160195619
13,0.0006999999999999999,0.097704596817
14,0.0005999999999999998,0.083773888648
15,0.0004999999999999998,0.069797515869
16,0.00039999999999999975,0.055833466351
17,0.0002999999999999997,0.041867934167
18,0.00019999999999999966,0.027914050967
19,9.999999999999961e-05,0.013937786222
