,Voltage (V),Current (A)
0,0.0,-9.5460386262e-09
1,0.05,2.1763771656e-05
2,0.1,4.3679305236e-05
3,0.15000000000000002,6.5725529566e-05
4,0.2,8.7858286861e-05
5,0.25,0.00011036788783
6,0.30000000000000004,0.00013323333405
7,0.35000000000000003,0.00015637905744
8,0.4,0.00018011218344
9,0.45,0.0002045436122
10,0.5,0.0002295578015
11,0.55,0.00025545695098
12,0.6000000000000001,0.00028247555019
13,0.65,0.00031050029793
14,0.7000000000000001,0.00034011283424
15,0.75,0.0003713000624
16,0.8,0.00040470267413
17,0.8500000000000001,0.00044069450814
18,0.9,0.00047997522051
19,0.9500000000000001,0.00052347668679
20,1.0,0.00057225127239
21,1.05,0.00062970642466
22,1.1,0.00069980567787
23,1.1500000000000001,0.0031649956945
24,1.2000000000000002,0.0035612438805
25,1.25,0.0077477344312
26,1.3,0.0087431520224
27,1.35,0.0095069780946
28,1.4000000000000001,0.01020124834
29,1.4500000000000002,0.010875368491
30,1.5,0.011485003866
31,1.55,0.012085648254
32,1.6,0.012666611932
33,1.6500000000000001,0.013230103068
34,1.7000000000000002,0.013782591559
35,1.75,0.014328014106
36,1.8,0.014860349707
37,1.85,0.015383755788
38,1.9000000000000001,0.015900785103
39,1.9500000000000002,0.016411835328
40,2.0,0.016914242879
41,2.0500000000000003,0.017416480929
42,2.1,0.017910907045
43,2.15,0.018405623734
44,2.2,0.018892664462
45,2.25,0.019373180345
46,2.3000000000000003,0.019850375131
47,2.35,0.020324258134
48,2.4000000000000004,0.020798802376
49,2.45,0.021270375699
50,2.5,0.021741198376
51,2.5500000000000003,0.022209884599
52,2.6,0.022681107745
53,2.6500000000000004,0.023158691823
54,2.7,0.023643216118
55,2.75,0.024125626311
56,2.8000000000000003,0.024611510336
57,2.85,0.025102607906
58,2.9000000000000004,0.025600446388
59,2.95,0.026102753356
60,3.0,0.026615858078
61,2.95,0.026150822639
62,2.9000000000000004,0.025657407939
63,2.8500000000000005,0.025161677971
64,2.8000000000000007,0.02467174083
65,2.750000000000001,0.024182576686
66,2.700000000000001,0.023697653785
67,2.6500000000000012,0.023214085028
68,2.6000000000000014,0.022733807564
69,2.5500000000000016,0.02225429751
70,2.5000000000000018,0.021783070639
71,2.450000000000002,0.021309174597
72,2.400000000000002,0.020840836689
73,2.3500000000000023,0.020365377888
74,2.3000000000000025,0.019893553108
75,2.2500000000000027,0.019415035844
76,2.200000000000003,0.018935522065
77,2.150000000000003,0.018454998732
78,2.100000000000003,0.017962593585
79,2.0500000000000034,0.017468459904
80,2.0000000000000036,0.016972871497
81,1.9500000000000037,0.016466272995
82,1.900000000000004,0.015961272642
83,1.850000000000004,0.015445847996
84,1.8000000000000043,0.014926706441
85,1.7500000000000044,0.014396233484
86,1.7000000000000046,0.013858344406
87,1.6500000000000048,0.013308864087
88,1.600000000000005,0.012749798596
89,1.5500000000000052,0.012178307399
90,1.5000000000000053,0.011585770175
91,1.4500000000000055,0.010974220932
92,1.4000000000000057,0.010336695239
93,1.3500000000000059,0.0096433740109
94,1.300000000000006,0.0089384419844
95,1.2500000000000062,0.0081006819382
96,1.2000000000000064,0.0071263737045
97,1.1500000000000066,0.0056491340511
98,1.1000000000000068,0.0030668666586
99,1.050000000000007,0.0027495329268
100,1.000000000000007,0.0024382697884
101,0.9500000000000073,0.0020847464912
102,0.9000000000000075,0.0005842880928
103,0.8500000000000076,0.00051784224343
104,0.8000000000000078,0.00046309514437
105,0.750000000000008,0.00040388113121
106,0.7000000000000082,0.0003668013087
107,0.6500000000000083,0.00033272130531
108,0.6000000000000085,0.0003010785731
109,0.5500000000000087,0.00027126466739
110,0.5000000000000089,0.00024274170573
111,0.45000000000000906,0.00021548898076
112,0.40000000000000924,0.0001892841392
113,0.3500000000000094,0.00016388265067
114,0.3000000000000096,0.00013931987633
115,0.25000000000000977,0.00011521239503
116,0.20000000000000995,9.1395071649e-05
117,0.15000000000001013,6.8250286859e-05
118,0.1000000000000103,4.5298591431e-05
119,0.05000000000001048,2.2686486773e-05
