,Voltage (V),Current (A)
0,0.0,3.132305082e-08
1,0.05,7.2721768447e-06
2,0.1,1.4399853171e-05
3,0.15000000000000002,2.1744781407e-05
4,0.2,2.8946595194e-05
5,0.25,3.6374811316e-05
6,0.30000000000000004,4.3459182052e-05
7,0.35000000000000003,5.0740905863e-05
8,0.4,5.8126737713e-05
9,0.45,6.5464846557e-05
10,0.5,7.3255658208e-05
11,0.55,8.0734054791e-05
12,0.6000000000000001,8.8158427388e-05
13,0.65,9.5578740002e-05
14,0.7000000000000001,0.00010328364442
15,0.75,0.00011108908075
16,0.8,0.00011906844156
17,0.8500000000000001,0.00012700998923
18,0.9,0.00013502717775
19,0.9500000000000001,0.0001433105208
20,1.0,0.00015194698062
21,1.05,0.00015995405556
22,1.1,0.00016882723139
23,1.1500000000000001,0.00017730076797
24,1.2000000000000002,0.0001866426901
25,1.25,0.00019612998585
26,1.3,0.00020488219161
27,1.35,0.00021505334007
28,1.4000000000000001,0.00022490099946
29,1.4500000000000002,0.00023471987515
30,1.5,0.00024453658261
31,1.55,0.00025590631412
32,1.6,0.00026700104354
33,1.6500000000000001,0.00027798893279
34,1.7000000000000002,0.00029027438723
35,1.75,0.00030258795596
36,1.8,0.00031521116034
37,1.85,0.00032920434023
38,1.9000000000000001,0.00034315965604
39,1.9500000000000002,0.00035868649138
40,2.0,0.00037451533717
41,2.0500000000000003,0.00039251349517
42,2.1,0.00041040763608
43,2.15,0.00042931747157
44,2.2,0.00045172317186
45,2.25,0.0004752043169
46,2.3000000000000003,0.00050251540961
47,2.35,0.00053621520055
48,2.4000000000000004,0.00057327363174
49,2.45,0.00062016770244
50,2.5,0.0006869219942
51,2.5500000000000003,0.005000107456
52,2.6,0.005000165198
53,2.6500000000000004,0.0050000259653
54,2.7,0.0050000259653
55,2.75,0.0050000082701
56,2.8000000000000003,0.005000107456
57,2.85,0.0050000664778
58,2.9000000000000004,0.0050000664778
59,2.95,0.0050000082701
60,3.0,0.0050000082701
61,3.0500000000000003,0.0050000837073
62,3.1,0.00499990955
63,3.1500000000000004,0.005000107456
64,3.2,0.0050000664778
65,3.1500000000000004,0.005000107456
66,3.1000000000000005,0.0050000664778
67,3.0500000000000007,0.005000165198
68,3.000000000000001,0.0050001246855
69,2.950000000000001,0.0050000082701
70,2.9000000000000012,0.0050000664778
71,2.8500000000000014,0.0050000664778
72,2.8000000000000016,0.005000165198
73,2.7500000000000018,0.0049999677576
74,2.700000000000002,0.0050000259653
75,2.650000000000002,0.0050000664778
76,2.6000000000000023,0.0050001246855
77,2.5500000000000025,0.0050001246855
78,2.5000000000000027,0.0050000487827
79,2.450000000000003,0.0050002639182
80,2.400000000000003,0.0049999677576
81,2.350000000000003,0.0050000664778
82,2.3000000000000034,0.0049999849871
83,2.2500000000000036,0.00500022294
84,2.2000000000000037,0.005000107456
85,2.150000000000004,0.0050000664778
86,2.100000000000004,0.004999851808
87,2.0500000000000043,0.0049998345785
88,2.0000000000000044,0.004999851808
89,1.9500000000000046,0.0049997936003
90,1.9000000000000048,0.0049998923205
91,1.850000000000005,0.0049998923205
92,1.8000000000000052,0.0049998923205
93,1.7500000000000053,0.0049998923205
94,1.7000000000000055,0.0049998345785
95,1.6500000000000057,0.0049998923205
96,1.6000000000000059,0.0049998923205
97,1.550000000000006,0.0050000082701
98,1.5000000000000062,0.0049999505281
99,1.4500000000000064,0.0049999505281
100,1.4000000000000066,0.0049998345785
101,1.3500000000000068,0.0049998923205
102,1.300000000000007,0.0049998923205
103,1.250000000000007,0.0049999910407
104,1.2000000000000073,0.0050000487827
105,1.1500000000000075,0.00018315744819
106,1.1000000000000076,0.00017286572256
107,1.0500000000000078,0.00016326957848
108,1.000000000000008,0.00015412071662
109,0.9500000000000082,0.0001456921309
110,0.9000000000000083,0.00013741347357
111,0.8500000000000085,0.00012882336159
112,0.8000000000000087,0.00012063777103
113,0.7500000000000089,0.00011265745707
114,0.7000000000000091,0.00010462883802
115,0.6500000000000092,9.6822441265e-05
116,0.6000000000000094,8.9127344836e-05
117,0.5500000000000096,8.1325888459e-05
118,0.5000000000000098,7.3644812801e-05
119,0.45000000000000995,6.6263935878e-05
120,0.4000000000000101,5.8573485148e-05
121,0.3500000000000103,5.1254752179e-05
122,0.3000000000000105,4.3824507884e-05
123,0.25000000000001066,3.6497065594e-05
124,0.20000000000001084,2.9158243706e-05
125,0.150000000000011,2.1834226573e-05
126,0.10000000000001119,1.456758946e-05
127,0.05000000000001137,7.2954812822e-06
