,Voltage (V),Current (A)
0,0.0,-7.6199198062e-09
1,0.05,4.8670426622e-06
2,0.1,9.7487809398e-06
3,0.15000000000000002,1.4724407265e-05
4,0.2,1.9537701519e-05
5,0.25,2.4380102332e-05
6,0.30000000000000004,2.9352233469e-05
7,0.35000000000000003,3.4230735764e-05
8,0.4,3.9206785004e-05
9,0.45,4.4167762098e-05
10,0.5,4.9117388699e-05
11,0.55,5.4071802879e-05
12,0.6000000000000001,5.9171714383e-05
13,0.65,6.4202133217e-05
14,0.7000000000000001,6.9241163146e-05
15,0.75,7.442367496e-05
16,0.8,7.9591103713e-05
17,0.8500000000000001,8.4729486844e-05
18,0.9,9.0032823209e-05
19,0.9500000000000001,9.5387847978e-05
20,1.0,0.00010066911636
21,1.05,0.00010611007019
22,1.1,0.00011158281995
23,1.1500000000000001,0.0001170828109
24,1.2000000000000002,0.00012278021313
25,1.25,0.00012836238602
26,1.3,0.00013415004651
27,1.35,0.00013998788199
28,1.4000000000000001,0.00014583616576
29,1.4500000000000002,0.000151917935
30,1.5,0.0001580636017
31,1.55,0.00016434420832
32,1.6,0.00017070927424
33,1.6500000000000001,0.00017717441369
34,1.7000000000000002,0.00018395905499
35,1.75,0.0001908265549
36,1.8,0.0001977099746
37,1.85,0.00020487057918
38,1.9000000000000001,0.00021219132759
39,1.9500000000000002,0.00021974679839
40,2.0,0.0002276351006
41,2.0500000000000003,0.00023573832004
42,2.1,0.00024397512607
43,2.15,0.00025268245372
44,2.2,0.00026158147375
45,2.25,0.0002710170811
46,2.3000000000000003,0.00028076779563
47,2.35,0.00029106670991
48,2.4000000000000004,0.00030198137392
49,2.45,0.00031346271862
50,2.5,0.00032555015059
51,2.5500000000000003,0.00033854748472
52,2.6,0.00035263667814
53,2.6500000000000004,0.00036810824531
54,2.7,0.0003849362256
55,2.75,0.00040358235128
56,2.8000000000000003,0.00042522812146
57,2.85,0.00045033125207
58,2.9000000000000004,0.00048068197793
59,2.95,0.00052032258827
60,3.0,0.00057894986821
61,3.0500000000000003,0.0050000664778
62,3.1,0.0050000664778
63,3.1500000000000004,0.005000107456
64,3.2,0.005000107456
65,3.1500000000000004,0.0049999677576
66,3.1000000000000005,0.0050000664778
67,3.0500000000000007,0.005000165198
68,3.000000000000001,0.0050000664778
69,2.950000000000001,0.0050000082701
70,2.9000000000000012,0.0049999505281
71,2.8500000000000014,0.0049999677576
72,2.8000000000000016,0.0049999677576
73,2.7500000000000018,0.005000107456
74,2.700000000000002,0.005000107456
75,2.650000000000002,0.0050000259653
76,2.6000000000000023,0.0050000259653
77,2.5500000000000025,0.0049999677576
78,2.5000000000000027,0.0050000664778
79,2.450000000000003,0.0050000082701
80,2.400000000000003,0.0050000664778
81,2.350000000000003,0.0050000664778
82,2.3000000000000034,0.0049999677576
83,2.2500000000000036,0.0050000082701
84,2.2000000000000037,0.0049999677576
85,2.150000000000004,0.0050000082701
86,2.100000000000004,0.0049998345785
87,2.0500000000000043,0.0049998923205
88,2.0000000000000044,0.0049997936003
89,1.9500000000000046,0.0049998923205
90,1.9000000000000048,0.0049998923205
91,1.850000000000005,0.0049998108298
92,1.8000000000000052,0.0049998345785
93,1.7500000000000053,0.0049996953458
94,1.7000000000000055,0.0049998108298
95,1.6500000000000057,0.0049999505281
96,1.6000000000000059,0.0049998923205
97,1.550000000000006,0.00499990955
98,1.5000000000000062,0.0049999910407
99,1.4500000000000064,0.0049998923205
100,1.4000000000000066,0.0049999910407
101,1.3500000000000068,0.0049998923205
102,1.300000000000007,0.0049998108298
103,1.250000000000007,0.00013385270722
104,1.2000000000000073,0.0001260980207
105,1.1500000000000075,0.00011982454453
106,1.1000000000000076,0.00011373789312
107,1.0500000000000078,0.00010795725393
108,1.000000000000008,0.0001022231736
109,0.9500000000000082,9.6584109997e-05
110,0.9000000000000083,9.1124733444e-05
111,0.8500000000000085,8.5814433987e-05
112,0.8000000000000087,8.0393190729e-05
113,0.7500000000000089,7.5101474067e-05
114,0.7000000000000091,6.9871304731e-05
115,0.6500000000000092,6.4763131377e-05
116,0.6000000000000094,5.9538782807e-05
117,0.5500000000000096,5.4551408539e-05
118,0.5000000000000098,4.9416321417e-05
119,0.45000000000000995,4.4342727051e-05
120,0.4000000000000101,3.9339523937e-05
121,0.3500000000000103,3.4401517041e-05
122,0.3000000000000105,2.9448068744e-05
123,0.25000000000001066,2.4508857678e-05
124,0.20000000000001084,1.9626566427e-05
125,0.150000000000011,1.466923004e-05
126,0.10000000000001119,9.839221093e-06
127,0.05000000000001137,4.8800602599e-06
