,Current (A),Voltage (V)
0,0.0,-0.039821069688
1,0.0001,20.998872757
2,0.0002,20.999217987
3,0.00030000000000000003,20.999334335
4,0.0004,20.999504089
5,0.0005,20.999389648
6,0.0006000000000000001,20.999559402
7,0.0007,20.999103546
8,0.0008,20.999275208
9,0.0009000000000000001,20.999389648
10,0.001,20.999389648
11,0.0011,20.999732971
12,0.0012000000000000001,20.999334335
13,0.0013000000000000002,20.999904633
14,0.0014,20.99961853
15,0.0015,20.999448776
16,0.0016,20.999334335
17,0.0017000000000000001,20.999732971
18,0.0018000000000000002,20.99961853
19,0.0019,20.999217987
20,0.002,20.999563217
21,0.0021000000000000003,20.99961853
22,0.0022,20.999732971
23,0.0023,20.999504089
24,0.0024000000000000002,20.999563217
25,0.0025,20.999334335
26,0.0026000000000000003,20.99961853
27,0.0027,20.999217987
28,0.0028,20.999504089
29,0.0029000000000000002,20.999389648
30,0.003,20.999448776
31,0.0031000000000000003,20.999504089
32,0.0032,20.999790192
33,0.0033,20.999162674
34,0.0034000000000000002,20.999504089
35,0.0035,20.999334335
36,0.0036000000000000003,20.999334335
37,0.0037,20.999217987
38,0.0038,20.999103546
39,0.0039000000000000003,20.999389648
40,0.004,20.999504089
41,0.0041,20.99961853
42,0.004200000000000001,20.999504089
43,0.0043,20.999048233
44,0.0044,20.999790192
45,0.0045000000000000005,20.999334335
46,0.0046,20.999448776
47,0.0047,20.999334335
48,0.0048000000000000004,20.999162674
49,0.0049,20.999334335
50,0.005,20.999275208
51,0.0049,20.999217987
52,0.0048,20.999673843
53,0.004699999999999999,20.999504089
54,0.004599999999999999,20.999217987
55,0.004499999999999999,20.999217987
56,0.0043999999999999985,20.999504089
57,0.004299999999999998,20.999334335
58,0.004199999999999998,20.999389648
59,0.004099999999999998,20.999504089
60,0.0039999999999999975,20.999504089
61,0.0038999999999999972,20.999334335
62,0.003799999999999997,20.999673843
63,0.0036999999999999967,20.999504089
64,0.0035999999999999964,20.999673843
65,0.003499999999999996,20.999504089
66,0.003399999999999996,20.999389648
67,0.0032999999999999956,20.998933792
68,0.0031999999999999954,20.99961853
69,0.003099999999999995,20.999790192
70,0.002999999999999995,20.999334335
71,0.0028999999999999946,20.999504089
72,0.0027999999999999943,20.999334335
73,0.002699999999999994,20.999334335
74,0.002599999999999994,20.999448776
75,0.0024999999999999935,20.999217987
76,0.0023999999999999933,20.999334335
77,0.002299999999999993,20.99961853
78,0.0021999999999999928,20.999448776
79,0.0020999999999999925,20.99961853
80,0.0019999999999999922,20.99961853
81,0.001899999999999992,20.999334335
82,0.0017999999999999917,20.999732971
83,0.0016999999999999914,20.999732971
84,0.0015999999999999912,20.999732971
85,0.001499999999999991,20.999732971
86,0.0013999999999999907,20.99961853
87,0.0012999999999999904,20.999732971
88,0.0011999999999999901,20.999904633
89,0.0010999999999999899,20.999448776
90,0.0009999999999999896,20.999103546
91,0.0008999999999999894,20.999504089
92,0.0007999999999999891,20.999504089
93,0.0006999999999999888,20.999673843
94,0.0005999999999999886,20.999334335
95,0.0004999999999999883,20.999389648
96,0.00039999999999998804,20.999504089
97,0.0002999999999999878,20.999334335
98,0.00019999999999998751,20.999217987
99,9.999999999998725e-05,20.998933792
