,Current (A),Voltage (V)
0,0.0,-0.00011863654072
1,0.0001,0.58015632629
2,0.0002,0.9194970727
3,0.00030000000000000003,1.1554933786
4,0.0004,1.2964783907
5,0.0005,1.4351578951
6,0.0006000000000000001,1.5447864532
7,0.0007,1.0889481306
8,0.0008,1.0962927341
9,0.0009000000000000001,0.9821882844
10,0.001,1.0097231865
11,0.0011,1.3343776464
12,0.0012000000000000001,0.98920726776
13,0.0013000000000000002,0.98637205362
14,0.0014,0.99887210131
15,0.0015,1.0030579567
16,0.0016,1.0061751604
17,0.0017000000000000001,1.0100803375
18,0.0018000000000000002,1.015332818
19,0.0019,1.018812418
20,0.002,1.0257838964
21,0.0021000000000000003,1.0308277607
22,0.0022,1.0364313126
23,0.0023,1.0409272909
24,0.0024000000000000002,1.0433396101
25,0.0025,1.049380064
26,0.0026000000000000003,1.0536849499
27,0.0027,1.0553863049
28,0.0028,1.0552406311
29,0.0029000000000000002,1.0630623102
30,0.003,1.0718405247
31,0.0031000000000000003,1.0158778429
32,0.0032,1.0199542046
33,0.0033,1.0346013308
34,0.0034000000000000002,1.0447868109
35,0.0035,1.051055789
36,0.0036000000000000003,1.0627398491
37,0.0037,1.0729649067
38,0.0038,1.0826275349
39,0.0039000000000000003,1.094294548
40,0.004,1.1058337688
41,0.0041,1.1191388369
42,0.004200000000000001,1.1250627041
43,0.0043,1.1291893721
44,0.0044,1.1400575638
45,0.0045000000000000005,1.1504577398
46,0.0046,1.1607936621
47,0.0047,1.1700634956
48,0.0048000000000000004,1.1821119785
49,0.0049,1.1857659817
50,0.005,1.1958616972
51,0.0049,1.1966477633
52,0.0048,1.1881049871
53,0.004699999999999999,1.1874066591
54,0.004599999999999999,1.1855357885
55,0.004499999999999999,1.1790518761
56,0.0043999999999999985,1.1670509577
57,0.004299999999999998,1.1718828678
58,0.004199999999999998,1.1749868393
59,0.004099999999999998,1.1647330523
60,0.0039999999999999975,1.1631020308
61,0.0038999999999999972,1.1618098021
62,0.003799999999999997,1.1563726664
63,0.0036999999999999967,1.1307492256
64,0.0035999999999999964,1.1435723305
65,0.003499999999999996,1.1451138258
66,0.003399999999999996,1.1413935423
67,0.0032999999999999956,1.133548975
68,0.0031999999999999954,1.1276113987
69,0.003099999999999995,1.1217513084
70,0.002999999999999995,1.1201094389
71,0.0028999999999999946,1.1166381836
72,0.0027999999999999943,1.1175720692
73,0.002699999999999994,1.1175378561
74,0.002599999999999994,1.1122192144
75,0.0024999999999999935,1.1117624044
76,0.0023999999999999933,1.1091564894
77,0.002299999999999993,1.1108146906
78,0.0021999999999999928,1.0839240551
79,0.0020999999999999925,1.0772986412
80,0.0019999999999999922,1.0694741011
81,0.001899999999999992,1.0682550669
82,0.0017999999999999917,1.0660969019
83,0.0016999999999999914,1.0696339607
84,0.0015999999999999912,1.0711238384
85,0.001499999999999991,1.1353394985
86,0.0013999999999999907,1.1263552904
87,0.0012999999999999904,1.1357940435
88,0.0011999999999999901,1.1263186932
89,0.0010999999999999899,1.1317974329
90,0.0009999999999999896,1.1150394678
91,0.0008999999999999894,1.1134271622
92,0.0007999999999999891,1.112618804
93,0.0006999999999999888,1.1142059565
94,0.0005999999999999886,1.1171153784
95,0.0004999999999999883,1.1200385094
96,0.00039999999999998804,1.1100244522
97,0.0002999999999999878,1.1146969795
98,0.00019999999999998751,1.1093987226
99,9.999999999998725e-05,0.74725985527
