,Current (A),Voltage (V)
0,0.0,6.9689122029e-06
1,0.0001,0.013937671669
2,0.0002,0.027868604288
3,0.00030000000000000003,0.041764825583
4,0.0004,0.055661275983
5,0.0005,0.069592550397
6,0.0006000000000000001,0.083544842899
7,0.0007,0.097453385592
8,0.0008,0.11137267202
9,0.0009000000000000001,0.12536150217
10,0.001,0.13925692439
11,0.0009,0.12530237436
12,0.0007999999999999999,0.11142976582
13,0.0006999999999999999,0.097464807332
14,0.0005999999999999998,0.083546884358
15,0.0004999999999999998,0.069591984153
16,0.00039999999999999975,0.055661275983
17,0.0002999999999999997,0.041765164584
18,0.00019999999999999966,0.027856729925
19,9.999999999999961e-05,0.013937786222
