,Current (A),Voltage (V)
0,0.0,-4.4509943109e-06
1,0.0001,0.013937671669
2,0.0002,0.027890985832
3,0.00030000000000000003,0.041856516153
4,0.0004,0.055832553655
5,0.0005,0.069832339883
6,0.0006000000000000001,0.083785310388
7,0.0007,0.097841620445
8,0.0008,0.11179424822
9,0.0009000000000000001,0.12570200861
10,0.001,0.13977076113
11,0.0009,0.12570303679
12,0.0007999999999999999,0.11185316741
13,0.0006999999999999999,0.0978089571
14,0.0005999999999999998,0.083762474358
15,0.0004999999999999998,0.069797515869
16,0.00039999999999999975,0.05585539341
17,0.0002999999999999997,0.041879355907
18,0.00019999999999999966,0.027937117964
19,9.999999999999961e-05,0.013949204236
