,Current (A),Voltage (V)
0,0.0,-0.0001072181185
1,0.0001,0.22708657384
2,0.0002,0.44169983268
3,0.00030000000000000003,0.63302886486
4,0.0004,0.79472023249
5,0.0005,0.92495512962
6,0.0006000000000000001,1.0248019695
7,0.0007,1.096247077
8,0.0008,1.1334347725
9,0.0009000000000000001,1.1031121016
10,0.001,1.1102665663
11,0.0011,1.0864132643
12,0.0012000000000000001,1.0832705498
13,0.0013000000000000002,1.0672301054
14,0.0014,1.0531995296
15,0.0015,1.0440475941
16,0.0016,1.0021672249
17,0.0017000000000000001,1.0035260916
18,0.0018000000000000002,1.0015050173
19,0.0019,1.0039713383
20,0.002,0.99956387281
21,0.0019,0.97990912199
22,0.0018,0.96826213598
23,0.0017,0.9592564702
24,0.0015999999999999999,0.95553398132
25,0.0014999999999999998,0.96097701788
26,0.0013999999999999998,0.96390372515
27,0.0012999999999999997,0.96941888332
28,0.0011999999999999997,0.97817695141
29,0.0010999999999999996,0.99087435007
30,0.0009999999999999996,1.0777834654
31,0.0008999999999999995,1.0466424227
32,0.0007999999999999995,1.0225867033
33,0.0006999999999999995,0.99228221178
34,0.0005999999999999994,0.93982589245
35,0.0004999999999999994,0.88043856621
36,0.0003999999999999993,0.7728831172
37,0.00029999999999999927,0.61924028397
38,0.00019999999999999922,0.43451401591
39,9.999999999999918e-05,0.22522720695
