,Voltage (V),Current (A)
0,0.0,-7.4082953105e-09
1,0.05,4.9218429012e-06
2,0.1,9.7455895229e-06
3,0.15000000000000002,1.4608363927e-05
4,0.2,1.9501534553e-05
5,0.25,2.4358230803e-05
6,0.30000000000000004,2.9218992495e-05
7,0.35000000000000003,3.4183995012e-05
8,0.4,3.9060159907e-05
9,0.45,4.4143591367e-05
10,0.5,4.8968700867e-05
11,0.55,5.4017647926e-05
12,0.6000000000000001,5.9060675994e-05
13,0.65,6.4087718783e-05
14,0.7000000000000001,6.9233588874e-05
15,0.75,7.4293551734e-05
16,0.8,7.9425502918e-05
17,0.8500000000000001,8.4617975517e-05
18,0.9,8.9856839622e-05
19,0.9500000000000001,9.5139264886e-05
20,1.0,0.00010050683341
21,1.05,0.00010588438454
22,1.1,0.0001113223334
23,1.1500000000000001,0.00011688045925
24,1.2000000000000002,0.00012245010294
25,1.25,0.00012803336722
26,1.3,0.0001338400034
27,1.35,0.00013966145343
28,1.4000000000000001,0.00014553873916
29,1.4500000000000002,0.00015166816593
30,1.5,0.0001577486546
31,1.55,0.00016400728782
32,1.6,0.00017039559316
33,1.6500000000000001,0.00017687380023
34,1.7000000000000002,0.00018354231725
35,1.75,0.00019027898088
36,1.8,0.00019726531173
37,1.85,0.0002044175053
38,1.9000000000000001,0.00021179225587
39,1.9500000000000002,0.00021929372451
40,2.0,0.00022716457897
41,2.0500000000000003,0.00023512839107
42,2.1,0.00024346978171
43,2.15,0.00025200861273
44,2.2,0.00026100638206
45,2.25,0.00027022129507
46,2.3000000000000003,0.00028004523483
47,2.35,0.00029014892061
48,2.4000000000000004,0.00030110424268
49,2.45,0.00031238232623
50,2.5,0.00032467619167
51,2.5500000000000003,0.00033753371099
52,2.6,0.00035162008135
53,2.6500000000000004,0.0003667199926
54,2.7,0.00038379192119
55,2.75,0.00040225795237
56,2.8000000000000003,0.00042354123434
57,2.85,0.00044804837671
58,2.9000000000000004,0.00047841656487
59,2.95,0.00051625323249
60,3.0,0.00057387305424
61,3.0500000000000003,0.00070815300569
62,3.1,0.0050000664778
63,3.1500000000000004,0.0049999505281
64,3.2,0.0049999677576
65,3.1500000000000004,0.0050000082701
66,3.1000000000000005,0.0050000664778
67,3.0500000000000007,0.0050000664778
68,3.000000000000001,0.0050000082701
69,2.950000000000001,0.0050000664778
70,2.9000000000000012,0.00499990955
71,2.8500000000000014,0.0049999677576
72,2.8000000000000016,0.0050000082701
73,2.7500000000000018,0.005000165198
74,2.700000000000002,0.0049999677576
75,2.650000000000002,0.0050000259653
76,2.6000000000000023,0.0050000664778
77,2.5500000000000025,0.005000107456
78,2.5000000000000027,0.0050000259653
79,2.450000000000003,0.0050001246855
80,2.400000000000003,0.005000107456
81,2.350000000000003,0.005000107456
82,2.3000000000000034,0.0050001824275
83,2.2500000000000036,0.0050000082701
84,2.2000000000000037,0.00499990955
85,2.150000000000004,0.005000107456
86,2.100000000000004,0.0049999910407
87,2.0500000000000043,0.0049999505281
88,2.0000000000000044,0.004999851808
89,1.9500000000000046,0.0049997936003
90,1.9000000000000048,0.004999851808
91,1.850000000000005,0.0049998345785
92,1.8000000000000052,0.0049998923205
93,1.7500000000000053,0.0049999505281
94,1.7000000000000055,0.004999851808
95,1.6500000000000057,0.004999851808
96,1.6000000000000059,0.0050000315532
97,1.550000000000006,0.0049998345785
98,1.5000000000000062,0.0049998923205
99,1.4500000000000064,0.004999851808
100,1.4000000000000066,0.0049999505281
101,1.3500000000000068,0.00499990955
102,1.300000000000007,0.0049999505281
103,1.250000000000007,0.00013338110875
104,1.2000000000000073,0.00012538353621
105,1.1500000000000075,0.00011946923769
106,1.1000000000000076,0.00011336428724
107,1.0500000000000078,0.00010774320981
108,1.000000000000008,0.00010196344374
109,0.9500000000000082,9.6446659882e-05
110,0.9000000000000083,9.1034715297e-05
111,0.8500000000000085,8.5696527094e-05
112,0.8000000000000087,8.032291953e-05
113,0.7500000000000089,7.5071846368e-05
114,0.7000000000000091,6.9773755968e-05
115,0.6500000000000092,6.4634776209e-05
116,0.6000000000000094,5.9460955526e-05
117,0.5500000000000096,5.4378462664e-05
118,0.5000000000000098,4.9327460147e-05
119,0.45000000000000995,4.4287768105e-05
120,0.4000000000000101,3.9322945668e-05
121,0.3500000000000103,3.4364627936e-05
122,0.3000000000000105,2.9469660149e-05
123,0.25000000000001066,2.4492594093e-05
124,0.20000000000001084,1.9567743948e-05
125,0.150000000000011,1.4732777345e-05
126,0.10000000000001119,9.7527972684e-06
127,0.05000000000001137,4.8624942792e-06
